Number,Name,Line,Venue,Team,Team Color,Game ID,Date,Competition,Season,State,TOI
30,Sandra Abstreiter,G,Home,Ottawa Charge,#D1011B,26,2024-02-04,PWHL,2023/2024,Regular Season,
38,Emerance Maschmeyer,G,Home,Ottawa Charge,#D1011B,26,2024-02-04,PWHL,2023/2024,Regular Season,3732
2,Aneta Tejralová,LD,Home,Ottawa Charge,#D1011B,26,2024-02-04,PWHL,2023/2024,Regular Season,1254
3,Zoe Boyd,RD,Home,Ottawa Charge,#D1011B,26,2024-02-04,PWHL,2023/2024,Regular Season,923
8,Natalie Snodgrass,RW,Home,Ottawa Charge,#D1011B,26,2024-02-04,PWHL,2023/2024,Regular Season,683
9,Daryl Watts,RW,Home,Ottawa Charge,#D1011B,26,2024-02-04,PWHL,2023/2024,Regular Season,1247
10,Becca Gilmore,LW,Home,Ottawa Charge,#D1011B,26,2024-02-04,PWHL,2023/2024,Regular Season,701
11,Akane Shiga,RW,Home,Ottawa Charge,#D1011B,26,2024-02-04,PWHL,2023/2024,Regular Season,346
14,Hayley Scamurra,LW,Home,Ottawa Charge,#D1011B,26,2024-02-04,PWHL,2023/2024,Regular Season,1197
15,Savannah Harmon,LD,Home,Ottawa Charge,#D1011B,26,2024-02-04,PWHL,2023/2024,Regular Season,1430
16,Kateřina Mrázová,C,Home,Ottawa Charge,#D1011B,26,2024-02-04,PWHL,2023/2024,Regular Season,990
17,Gabbie Hughes,C,Home,Ottawa Charge,#D1011B,26,2024-02-04,PWHL,2023/2024,Regular Season,1172
19,Brianne Jenner,C,Home,Ottawa Charge,#D1011B,26,2024-02-04,PWHL,2023/2024,Regular Season,1316
21,Ashton Bell,RD,Home,Ottawa Charge,#D1011B,26,2024-02-04,PWHL,2023/2024,Regular Season,1435
25,Kristin Della Rovere,C,Home,Ottawa Charge,#D1011B,26,2024-02-04,PWHL,2023/2024,Regular Season,419
26,Emily Clark,LW,Home,Ottawa Charge,#D1011B,26,2024-02-04,PWHL,2023/2024,Regular Season,1212
28,Amanda Boulier,RD,Home,Ottawa Charge,#D1011B,26,2024-02-04,PWHL,2023/2024,Regular Season,757
71,Jincy Roese,LD,Home,Ottawa Charge,#D1011B,26,2024-02-04,PWHL,2023/2024,Regular Season,1242
88,Lexie Adzija,RW,Home,Ottawa Charge,#D1011B,26,2024-02-04,PWHL,2023/2024,Regular Season,1252
94,Fanni Garát-Gasparics,LW,Home,Ottawa Charge,#D1011B,26,2024-02-04,PWHL,2023/2024,Regular Season,416
30,Corinne Schroeder,G,Away,New York Sirens,#009E90,26,2024-02-04,PWHL,2023/2024,Regular Season,3732
39,Abbey Levy,G,Away,New York Sirens,#009E90,26,2024-02-04,PWHL,2023/2024,Regular Season,
4,Taylor Baker,RD,Away,New York Sirens,#009E90,26,2024-02-04,PWHL,2023/2024,Regular Season,769
6,Brooke Hobson,LD,Away,New York Sirens,#009E90,26,2024-02-04,PWHL,2023/2024,Regular Season,1184
9,Jessie Eldridge,RW,Away,New York Sirens,#009E90,26,2024-02-04,PWHL,2023/2024,Regular Season,926
10,Kayla Vespa,LW,Away,New York Sirens,#009E90,26,2024-02-04,PWHL,2023/2024,Regular Season,768
11,Abby Roque,LW,Away,New York Sirens,#009E90,26,2024-02-04,PWHL,2023/2024,Regular Season,1356
12,Chloé Aurard-Bushee,LW,Away,New York Sirens,#009E90,26,2024-02-04,PWHL,2023/2024,Regular Season,766
13,Alexandra Labelle,C,Away,New York Sirens,#009E90,26,2024-02-04,PWHL,2023/2024,Regular Season,643
14,Jaime Bourbonnais,RD,Away,New York Sirens,#009E90,26,2024-02-04,PWHL,2023/2024,Regular Season,1313
17,Ella Shelton,RD,Away,New York Sirens,#009E90,26,2024-02-04,PWHL,2023/2024,Regular Season,1529
18,Élizabeth Giguère,RW,Away,New York Sirens,#009E90,26,2024-02-04,PWHL,2023/2024,Regular Season,765
19,Paetyn Levis,RW,Away,New York Sirens,#009E90,26,2024-02-04,PWHL,2023/2024,Regular Season,736
23,Madison Packer,LW,Away,New York Sirens,#009E90,26,2024-02-04,PWHL,2023/2024,Regular Season,563
25,Alex Carpenter,C,Away,New York Sirens,#009E90,26,2024-02-04,PWHL,2023/2024,Regular Season,1282
27,Jade Downie-Landry,C,Away,New York Sirens,#009E90,26,2024-02-04,PWHL,2023/2024,Regular Season,974
28,Micah Zandee-Hart,LD,Away,New York Sirens,#009E90,26,2024-02-04,PWHL,2023/2024,Regular Season,1351
59,Johanna Fällman,LD,Away,New York Sirens,#009E90,26,2024-02-04,PWHL,2023/2024,Regular Season,939
67,Emma Woods,C,Away,New York Sirens,#009E90,26,2024-02-04,PWHL,2023/2024,Regular Season,748
71,Savannah Norcross,RW,Away,New York Sirens,#009E90,26,2024-02-04,PWHL,2023/2024,Regular Season,682
