id,timestamp,event,team,venue,team_home,team_away,period,perspective,strength,p1_no,p1_name,p2_no,p2_name,p3_no,p3_name,g_no,goalie_name,home_line,home_players,home_players_names,away_line,away_players,away_players_names,x,y,game_id,game_date,competition,season,state
1,0:29,Shot,Minnesota Frost,Away,Toronto Sceptres,Minnesota Frost,1,event,5v5,41,Denisa Křížová,,,,,50,Kristen Campbell,,,,,,,69.0,12.2,111,2024-12-07,PWHL,2024/2025,Regular Season
2,1:10,Shot,Minnesota Frost,Away,Toronto Sceptres,Minnesota Frost,1,event,5v5,9,Mae Batherson,,,,,50,Kristen Campbell,,,,,,,40.7,32.3,111,2024-12-07,PWHL,2024/2025,Regular Season
3,1:14,Block,Minnesota Frost,Away,Toronto Sceptres,Minnesota Frost,1,event,5v5,86,Michela Cava,,,,,50,Kristen Campbell,,,,,,,78.7,-9.3,111,2024-12-07,PWHL,2024/2025,Regular Season
4,1:16,Shot,Minnesota Frost,Away,Toronto Sceptres,Minnesota Frost,1,event,5v5,9,Mae Batherson,,,,,50,Kristen Campbell,,,,,,,39.7,7.9,111,2024-12-07,PWHL,2024/2025,Regular Season
5,2:01,Block,Toronto Sceptres,Home,Toronto Sceptres,Minnesota Frost,1,event,5v5,40,Blayre Turnbull,,,,,35,Maddie Rooney,,,,,,,-71.3,18.4,111,2024-12-07,PWHL,2024/2025,Regular Season
6,2:27,Shot,Toronto Sceptres,Home,Toronto Sceptres,Minnesota Frost,1,event,5v5,88,Julia Gosling,,,,,35,Maddie Rooney,,,,,,,-69.0,-19.6,111,2024-12-07,PWHL,2024/2025,Regular Season
7,2:49,Shot,Minnesota Frost,Away,Toronto Sceptres,Minnesota Frost,1,event,5v5,42,Claire Thompson,,,,,50,Kristen Campbell,,,,,,,49.0,-17.6,111,2024-12-07,PWHL,2024/2025,Regular Season
8,2:50,Goal,Minnesota Frost,Away,Toronto Sceptres,Minnesota Frost,1,event,5v5,7,Claire Butorac,21,Liz Schepers,42,Claire Thompson,50,Kristen Campbell,,3 8 14 20 27,Jocelyne Larocque - Izzy Daniel - Renata Fast - Sarah Nurse - Emma Maltais,,7 16 21 42 71,Claire Butorac - Sophie Jaques - Liz Schepers - Claire Thompson - Klára Hymlárová,84.3,-3.7,111,2024-12-07,PWHL,2024/2025,Regular Season
9,3:08,Block,Minnesota Frost,Away,Toronto Sceptres,Minnesota Frost,1,event,5v5,41,Denisa Křížová,,,,,50,Kristen Campbell,,,,,,,67.0,-12.8,111,2024-12-07,PWHL,2024/2025,Regular Season
10,3:21,Shot,Minnesota Frost,Away,Toronto Sceptres,Minnesota Frost,1,event,5v5,41,Denisa Křížová,,,,,50,Kristen Campbell,,,,,,,78.7,-2.5,111,2024-12-07,PWHL,2024/2025,Regular Season
