id,timestamp,event,team,venue,team_home,team_away,period,perspective,strength,p1_no,p1_name,p2_no,p2_name,p3_no,p3_name,g_no,goalie_name,home_line,home_players,home_players_names,away_line,away_players,away_players_names,x,y,xG,ScoreState,BoxID,game_id,game_date,competition,season,state
1,0:07,Shot,Ottawa Charge,Home,Ottawa Charge,Montréal Victoire,1,event,5v5,26,Emily Clark,,,,,30,Sandra Abstreiter,,,,,,,72.3,18.7,,0,O17,282,2026-04-03,PWHL,2025/2026,Regular Season
2,0:21,Shot,Montréal Victoire,Away,Ottawa Charge,Montréal Victoire,1,event,5v5,7,Laura Stacey,,,,,33,Gwyneth Philips,,,,,,,29.7,39.9,,0,O26,282,2026-04-03,PWHL,2025/2026,Regular Season
3,1:50,Shot,Ottawa Charge,Home,Ottawa Charge,Montréal Victoire,1,event,5v5,8,Kathryn Reilly,,,,,30,Sandra Abstreiter,,,,,,,25.3,36.8,,0,O26,282,2026-04-03,PWHL,2025/2026,Regular Season
4,2:02,Shot,Ottawa Charge,Home,Ottawa Charge,Montréal Victoire,1,event,5v5,6,Stephanie Markowski,,,,,30,Sandra Abstreiter,,,,,,,55.0,-20.7,,0,O20,282,2026-04-03,PWHL,2025/2026,Regular Season
5,2:24,Block,Montréal Victoire,Away,Ottawa Charge,Montréal Victoire,1,event,5v5,13,Alexandra Labelle,,,,,33,Gwyneth Philips,,,,,,,60.7,4.8,,0,O15,282,2026-04-03,PWHL,2025/2026,Regular Season
6,2:37,Shot,Ottawa Charge,Home,Ottawa Charge,Montréal Victoire,1,event,5v5,6,Stephanie Markowski,,,,,30,Sandra Abstreiter,,,,,,,52.3,21.5,,0,O22,282,2026-04-03,PWHL,2025/2026,Regular Season
7,3:51,Block,Ottawa Charge,Home,Ottawa Charge,Montréal Victoire,1,event,5v5,37,Rebecca Leslie,,,,,30,Sandra Abstreiter,,,,,,,40.7,-2.0,,0,O25,282,2026-04-03,PWHL,2025/2026,Regular Season
8,5:51,Block,Ottawa Charge,Home,Ottawa Charge,Montréal Victoire,1,event,5v5,8,Kathryn Reilly,,,,,30,Sandra Abstreiter,,,,,,,38.3,17.8,,0,O26,282,2026-04-03,PWHL,2025/2026,Regular Season
9,6:25,Penalty,Montréal Victoire,Away,Ottawa Charge,Montréal Victoire,1,event,5v5,91,Maggie Flaherty,,,,,,,,,,,,,,,,0,,282,2026-04-03,PWHL,2025/2026,Regular Season
10,6:30,Shot,Ottawa Charge,Home,Ottawa Charge,Montréal Victoire,1,event,5v4,37,Rebecca Leslie,,,,,30,Sandra Abstreiter,,,,,,,54.3,-17.8,,0,O20,282,2026-04-03,PWHL,2025/2026,Regular Season
11,7:16,Block,Ottawa Charge,Home,Ottawa Charge,Montréal Victoire,1,event,5v4,37,Rebecca Leslie,,,,,30,Sandra Abstreiter,,,,,,,68.7,9.3,,0,O16,282,2026-04-03,PWHL,2025/2026,Regular Season
12,8:09,Shot,Ottawa Charge,Home,Ottawa Charge,Montréal Victoire,1,event,5v4,86,Michela Cava,,,,,30,Sandra Abstreiter,,,,,,,86.7,-8.5,,0,O06,282,2026-04-03,PWHL,2025/2026,Regular Season
13,8:18,Shot,Ottawa Charge,Home,Ottawa Charge,Montréal Victoire,1,event,5v4,3,Jocelyne Larocque,,,,,30,Sandra Abstreiter,,,,,,,78.7,37.7,,0,O10,282,2026-04-03,PWHL,2025/2026,Regular Season
14,9:14,Shot,Montréal Victoire,Away,Ottawa Charge,Montréal Victoire,1,event,5v5,25,Lina Ljungblom,,,,,33,Gwyneth Philips,,,,,,,84.3,2.5,,0,O07,282,2026-04-03,PWHL,2025/2026,Regular Season
15,9:28,Shot,Ottawa Charge,Home,Ottawa Charge,Montréal Victoire,1,event,5v5,23,Sarah Wozniewicz,,,,,30,Sandra Abstreiter,,,,,,,68.7,-0.8,,0,O15,282,2026-04-03,PWHL,2025/2026,Regular Season
16,9:30,Shot,Ottawa Charge,Home,Ottawa Charge,Montréal Victoire,1,event,5v5,19,Brianne Jenner,,,,,30,Sandra Abstreiter,,,,,,,88.0,6.2,,0,O08,282,2026-04-03,PWHL,2025/2026,Regular Season
17,10:26,Shot,Montréal Victoire,Away,Ottawa Charge,Montréal Victoire,1,event,5v5,28,Catherine Dubois,,,,,33,Gwyneth Philips,,,,,,,73.0,-4.5,,0,O11,282,2026-04-03,PWHL,2025/2026,Regular Season
18,10:29,Shot,Montréal Victoire,Away,Ottawa Charge,Montréal Victoire,1,event,5v5,13,Alexandra Labelle,,,,,33,Gwyneth Philips,,,,,,,85.3,-6.2,,0,O06,282,2026-04-03,PWHL,2025/2026,Regular Season
19,10:44,Shot,Montréal Victoire,Away,Ottawa Charge,Montréal Victoire,1,event,5v5,13,Alexandra Labelle,,,,,33,Gwyneth Philips,,,,,,,69.7,4.5,,0,O16,282,2026-04-03,PWHL,2025/2026,Regular Season
20,11:11,Shot,Montréal Victoire,Away,Ottawa Charge,Montréal Victoire,1,event,5v5,25,Lina Ljungblom,,,,,33,Gwyneth Philips,,,,,,,84.7,-10.2,,0,O06,282,2026-04-03,PWHL,2025/2026,Regular Season
21,11:53,Shot,Ottawa Charge,Home,Ottawa Charge,Montréal Victoire,1,event,5v5,17,Gabbie Hughes,,,,,30,Sandra Abstreiter,,,,,,,69.7,-35.1,,0,O12,282,2026-04-03,PWHL,2025/2026,Regular Season
22,13:59,Shot,Ottawa Charge,Home,Ottawa Charge,Montréal Victoire,1,event,5v5,9,Vita Poniatovskaia,,,,,30,Sandra Abstreiter,,,,,,,58.0,34.6,,0,O18,282,2026-04-03,PWHL,2025/2026,Regular Season
23,15:09,Penalty,Montréal Victoire,Away,Ottawa Charge,Montréal Victoire,1,event,5v5,96,Natálie Mlýnková,,,,,,,,,,,,,,,,0,,282,2026-04-03,PWHL,2025/2026,Regular Season
24,15:38,Shot,Ottawa Charge,Home,Ottawa Charge,Montréal Victoire,1,event,5v4,5,Rory Guilday,,,,,30,Sandra Abstreiter,,,,,,,52.0,8.8,,0,O21,282,2026-04-03,PWHL,2025/2026,Regular Season
