Game Version,Name,Name_PWHL,PlayerID,Image,Team,Logo,Number,Position,Height,Weight,Age,Shoots,Player Type,Potential,Line Position,Overall,Deking,Hand-Eye,Passing,Puck Control,Def. Awareness,Faceoffs,Shot Blocking,Stick Checking,Discipline,Off. Awareness,Poise,Acceleration,Agility,Balance,Endurance,Speed,Slap Shot Accuracy,Slap Shot Power,Wrist Shot Accuracy,Wrist Shot Power,Aggressiveness,Body Checking,Durability,Fighting Skill,Strength
NHL 22,Marie-Philip Poulin,Marie-Philip Poulin,31,https://assets.leaguestat.com/pwhl/240x240/31.jpg,Canada,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/can.png,29,C,"5'6""",161 Lbs,30,Left,Sniper,ELITE,1C,94,93,93,93,94,91,93,87,92,94,95,95,93,92,94,93,94,92,90,94,89,92,92,90,50,93
NHL 22,Natalie Spooner,Natalie Spooner,100,https://assets.leaguestat.com/pwhl/240x240/100.jpg,Canada,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/can.png,24,RW/C,"5'10""",161 Lbs,30,Right,Sniper,ELITE,1RW,91,93,92,92,90,92,89,86,91,95,95,92,90,90,89,92,90,91,84,90,82,92,91,94,50,93
NHL 22,Mélodie Daoust,Mélodie Daoust,168,https://assets.leaguestat.com/pwhl/240x240/168.jpg,Canada,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/can.png,15,LW,"5'6""",157 Lbs,29,Left,Sniper,FRANCHISE,2LW,92,94,92,94,93,89,86,86,89,95,95,94,92,93,92,93,91,92,86,93,81,92,89,94,50,92
NHL 22,Brianne Jenner,Brianne Jenner,58,https://assets.leaguestat.com/pwhl/240x240/58.jpg,Canada,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/can.png,19,C,"5'9""",157 Lbs,30,Right,Power Forward,FRANCHISE,2C,92,91,91,95,92,92,88,86,89,89,93,92,92,91,92,91,92,90,82,91,82,92,93,95,50,92
NHL 22,Sarah Nurse,Sarah Nurse,75,https://assets.leaguestat.com/pwhl/240x240/75.jpg,Canada,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/can.png,20,LW,"5'8""",148 Lbs,26,Left,Power Forward,ELITE,1LW,87,86,86,88,88,91,89,85,91,92,89,90,89,87,88,88,90,87,81,88,80,91,92,92,50,90
NHL 22,Rebecca Johnston,Rebecca Johnston,,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/default_image.png,Canada,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/can.png,6,LW,"5'6""",140 Lbs,31,Left,2 Way Forward,ELITE,3LW,88,90,88,91,87,89,77,86,91,95,90,89,94,90,91,88,90,85,80,90,80,91,91,95,50,89
NHL 22,Sarah Fillier,Sarah Fillier,205,https://assets.leaguestat.com/pwhl/240x240/205.jpg,Canada,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/can.png,10,RW/C,"5'6""",130 Lbs,21,Right,2 Way Forward,ELITE,2RW,89,92,92,90,90,89,89,84,90,86,92,88,92,90,91,91,92,89,84,90,85,86,88,90,50,88
NHL 22,Emily Clark,Emily Clark,53,https://assets.leaguestat.com/pwhl/240x240/53.jpg,Canada,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/can.png,26,C,"5'7""",134 Lbs,25,Left,2 Way Forward,ELITE,3C,87,91,91,91,86,87,85,89,89,88,91,90,90,91,87,87,91,89,80,90,80,89,89,93,50,86
NHL 22,Emma Maltais,Emma Maltais,73,https://assets.leaguestat.com/pwhl/240x240/73.jpg,Canada,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/can.png,27,LW/C,"5'5""",146 Lbs,21,Left,2 Way Forward,ELITE,4LW,85,91,89,88,86,85,86,89,85,93,89,91,90,89,91,85,92,87,78,87,77,86,88,90,50,85
NHL 22,Jill Saulnier,Jill Saulnier,149,https://assets.leaguestat.com/pwhl/240x240/149.jpg,Canada,https://hockeystatisticscom.wordpress.com/wp-content/uploads/2025/12/can.png,11,RW,"5'5""",145 Lbs,29,Left,Grinder,T6F,3RW,85,85,86,85,86,91,70,89,89,85,86,90,90,87,89,84,88,87,78,85,80,89,91,91,50,86
